item_id,name,brand,category,number,price
32769,설화수_선케어_0,설화수,선케어,0,12000
32772,설화수_선케어_1,설화수,선케어,1,14000
32773,설화수_선케어_2,설화수,선케어,2,12000
32774,설화수_선케어_3,설화수,선케어,3,12000
32775,설화수_선케어_4,설화수,선케어,4,13000
32780,설화수_선케어_5,설화수,선케어,5,13000
393230,설화수_선케어_6,설화수,선케어,6,16000
131092,설화수_선케어_7,설화수,선케어,7,14000
163861,설화수_선케어_8,설화수,선케어,8,17000
32791,설화수_선케어_9,설화수,선케어,9,19000
32793,설화수_선케어_10,설화수,선케어,10,12000
196635,설화수_선케어_11,설화수,선케어,11,15000
98333,설화수_선케어_12,설화수,선케어,12,12000
32800,설화수_선케어_13,설화수,선케어,13,12000
41,설화수_선케어_14,설화수,선케어,14,13000
42,설화수_선케어_15,설화수,선케어,15,12000
43,설화수_선케어_16,설화수,선케어,16,17000
65579,설화수_선케어_17,설화수,선케어,17,14000
47,설화수_선케어_18,설화수,선케어,18,14000
32817,설화수_선케어_19,설화수,선케어,19,14000
51,설화수_선케어_20,설화수,선케어,20,11000
32823,설화수_선케어_21,설화수,선케어,21,11000
57,설화수_선케어_22,설화수,선케어,22,11000
32826,설화수_선케어_23,설화수,선케어,23,11000
59,설화수_선케어_24,설화수,선케어,24,16000
60,설화수_선케어_25,설화수,선케어,25,18000
131133,설화수_선케어_26,설화수,선케어,26,16000
61,설화수_선케어_27,설화수,선케어,27,16000
65597,설화수_선케어_28,설화수,선케어,28,14000
32832,설화수_선케어_29,설화수,선케어,29,12000
65600,설화수_선케어_30,설화수,선케어,30,12000
98373,설화수_선케어_31,설화수,선케어,31,14000
71,설화수_선케어_32,설화수,선케어,32,18000
131143,설화수_선케어_33,설화수,선케어,33,11000
32841,설화수_선케어_34,설화수,선케어,34,13000
131151,설화수_선케어_35,설화수,선케어,35,12000
65623,설화수_선케어_36,설화수,선케어,36,12000
163935,설화수_선케어_37,설화수,선케어,37,15000
131182,설화수_선케어_38,설화수,선케어,38,15000
393327,설화수_선케어_39,설화수,선케어,39,11000
110,설화수_선케어_40,설화수,선케어,40,14000
131197,설화수_선케어_41,설화수,선케어,41,11000
65669,설화수_선케어_42,설화수,선케어,42,12000
32902,설화수_선케어_43,설화수,선케어,43,12000
134,설화수_선케어_44,설화수,선케어,44,14000
133,설화수_선케어_45,설화수,선케어,45,17000
32906,설화수_선케어_46,설화수,선케어,46,14000
131216,설화수_선케어_47,설화수,선케어,47,13000
32913,설화수_선케어_48,설화수,선케어,48,14000
65680,설화수_선케어_49,설화수,선케어,49,14000
